VARIABLE,DEFAULT_VALUE,CUSTOM_VALUE
global.tips.loading,Loading...,Caricamento...
global.button.back,Back,Indietro
global.button.next,Continue,Continuare
global.button.submit,Submit,Invia
global.button.finish,FINISH,FINE
global.button.logout,Log out,Esci
global.validate.required,{label} is required,{label} è obbligatoria
global.validate.password.required,You must enter a password.,È necessario inserire una password.
global.fileUpload.defaultText,Drag & drop file here or click here to browse,Trascina e rilascia il file qui o fai clic qui per sfogliarlo
global.fileUpload.typeNotSupport,{name} file type not support,Il tipo di file {name} non è supportato
global.fileUpload.namedFileSizeExceedsLimit,{name} exceeds upload limit. Maximum file size is {maxSize},{name} supera il limite di caricamento. 
global.fileUpload.fileNumberExceedsLimit,"The number of files exceeds the limit, with up to {limit} being supported","Il numero di file supera il limite, è supportato un massimo di {limit}"
global.registerB2B.linkText,Business Account Application,Richiesta di conto aziendale
global.filter.clearFilters,Clear Filters,Cancella filtri
global.filter.title,Filters,Filtri
global.filter.cancel,Cancel,Annulla
global.filter.apply,Apply,Applica
global.pagination.rowsPerPage,Rows per page:,Righe per pagina:
global.pagination.perPage,per page:,per pagina:
global.pagination.cardsPerPage,Cards per page:,Carte per pagina:
global.createShoppingList.createNew,Create new,Crea nuovo
global.createShoppingList.name,Name,Nome
global.createShoppingList.description,Description,Descrizione
global.orderShoppingList.confirm,Confirm,Confermare
global.orderShoppingList.ok,OK,
global.orderShoppingList.createNew,Create new,Crea nuovo
global.quoteAttachment.uploadedByCustomer,Uploaded by customer: {createdBy},Caricato dal cliente: {createdBy}
global.quoteAttachment.uploadedByCustomerWithName,Uploaded by customer: {firstName} {lastName},Caricato dal cliente: {firstName} {lastName}
global.quoteAttachment.maxFilesMessage,You can add up to 3 files,Puoi aggiungere fino a 3 file
global.quoteAttachment.title,Attachment,Allegato
global.fileUpload.addAttachment,Add Attachment,Aggiungi allegato
global.fileUpload.maxFileSizeMessage,"You can add up to 3 files, not bigger than 2MB each.","Puoi aggiungere fino a 3 file, non più grandi di 2 MB ciascuno."
global.fileUpload.fileTypeNotSupported,file type not supported,tipo di file non supportato
global.fileUpload.fileSizeExceedsLimit,file exceeds upload limit. Maximum file size is {maxFileSize},il file supera il limite di caricamento. 
global.fileUpload.maxFileNumber,You can add up to {fileNumber} files,Puoi aggiungere fino a {fileNumber} file
global.quoteInfo.editInfo,Edit info,Modifica informazioni
global.quoteInfo.billing,Billing,Fatturazione
global.quoteInfo.shipping,Shipping,Spedizione
global.quoteNote.message,Message,Messaggio
global.quoteNote.notes,Notes,Note
global.quoteNote.messageNote,Your message will be sent after submitting a quote,Il tuo messaggio verrà inviato dopo aver inviato un preventivo
global.quoteNote.typeMessage,Type a message...,Digita un messaggio...
global.validatorRules.phoneNumber,Please enter a valid phone number,Inserisci un numero di telefono valido
global.validatorRules.email,"Please use a valid email address, such as user@example.com.","Utilizza un indirizzo email valido, ad esempio utente@example.com."
global.validatorRules.number,Please enter a valid integer number,Inserisci un numero intero valido
global.validatorRules.max,Please do not exceed {max},Si prega di non superare il {max}
global.validatorRules.passwords,Passwords must be at least 7 characters and contain both alphabetic and numeric characters.,Le password devono contenere almeno 7 caratteri e contenere sia caratteri alfabetici che numerici.
global.tips.registerLogo,register Logo,registrare il logo
global.registerComplete.passwordMatchPrompt,Your passwords do not match.,Le tue password non corrispondono.
global.registerFinish.autoApproved.tip,Thank you for creating your account at {storeName}. Your company account application has been approved,Grazie per aver creato il tuo account su {storeName}. 
global.registerFinish.bcSuccess.tip,Thank you for creating your account at {storeName},Grazie per aver creato il tuo account su {storeName}
global.loginText.emailAddress,Email address,Indirizzo e-mail
global.emailValidate.multipleCustomer,This email is used by multiple customers in your store. Please use another email.,Questa email viene utilizzata da più clienti nel tuo negozio. 
global.emailValidate.companyUsed,This email is used by a customer within another company. {companyName},Questa email viene utilizzata da un cliente di un'altra azienda. 
global.emailValidate.alreadyExits,This user already exists in this company.,Questo utente esiste già in questa azienda.
global.emailValidate.usedSuperAdmin,This email is used by a super admin.,Questa email viene utilizzata da un super amministratore.
global.emailValidate.emailLength,Email length cannot exceed 200 characters,La lunghezza dell'e-mail non può superare i 200 caratteri
global.filter.search,Search,Ricerca
global.table.noData,No data,Nessun dato
global.quoteStatusCode.draft,Draft,Bozza
global.quoteStatusCode.open,Open,Aperto
global.quoteStatusCode.ordered,Ordered,Ordinato
global.quoteStatusCode.expired,Expired,Scaduto
global.navMenu.dashboard,Dashboard,Pannello di controllo
global.navMenu.orders,My orders,I miei ordini
global.navMenu.companyOrders,Company orders,Ordini aziendali
global.navMenu.invoice,Invoice,Fatture
global.navMenu.quotes,Quotes,Preventivi
global.navMenu.shoppingLists,Shopping lists,Liste della spesa
global.navMenu.quickOrder,Quick order,Ordine veloce
global.navMenu.addresses,Addresses,Indirizzi
global.navMenu.userManagement,User management,Gestione utenti
global.navMenu.accountSettings,Account settings,Impostazioni dell'account
global.B3MainHeader.superAdmin,Super admin,Super amministratore
global.B3MainHeader.signIn,Sign in,Registrazione
global.B3MainHeader.home,Home,
global.B3MainHeader.cart,Cart,Carrello
global.dialog.cancel,Cancel,Annulla
global.dialog.save,Save,Salva
global.searchProduct.product,Product,Prodotto
global.searchProduct.price,Price,Prezzo
global.searchProduct.qty,Qty,Qtà
global.searchProduct.total,Total,Totale
global.purchasedProducts.title,Purchased products,Prodotti acquistati
global.orders.title,My orders,I miei ordini
global.companyOrders.title,Company orders,Ordini aziendali
global.searchProduct.chooseOptionsButton,Choose options,Scegli le opzioni
global.notification.addProductSingular,Product was added to your quote,Il prodotto è stato aggiunto al tuo preventivo
global.notification.maximumPurchaseExceed,"The maximum purchase quantity does not exceed 1,000,000",La quantità massima di acquisto non supera 1.000.000
global.shoppingLists.status.all,All,Tutto
global.shoppingLists.status.approved,Approved,Approvato
global.shoppingLists.status.draft,Draft,Bozza
global.shoppingLists.status.readyForApproval,Ready for approval,Pronto per l'approvazione
global.shoppingLists.status.rejected,Rejected,Respinto
global.shoppingLists.filter.createdBy,Created by,Creato da
global.shoppingLists.filter.status,Status,Stato
global.searchProduct.placeholder.quickOrder,Search products,Cerca prodotti
global.searchProduct.placeholder.shoppingList,Search products,Cerca prodotti
global.searchProduct.placeholder.quote,Search products,Cerca prodotti
